Modality; Threads; Time(s);
Sequential;  0; 0.0033457053000000053;
OpenMP;  1; 0.0034668250000000037;
OpenMP;  2; 0.0022636787999999915;
OpenMP;  3; 0.002139058700000002;
OpenMP;  4; 0.0019042217000000015;
OpenMP;  5; 0.002238253400000006;
OpenMP;  6; 0.003005140700000013;
OpenMP;  7; 0.007240592599999976;
OpenMP;  8; 0.019855172299999863;
