Modality; Threads; Time(s);
Sequential;  0; 0.004857295100000014;
OpenMP;  1; 0.004516463799999998;
OpenMP;  2; 0.0030028700999999904;
OpenMP;  3; 0.002888186700000006;
OpenMP;  4; 0.0024668415000000036;
OpenMP;  5; 0.002993320699999992;
OpenMP;  6; 0.003587996699999993;
OpenMP;  7; 0.007074874299999988;
OpenMP;  8; 0.019544746699999973;
