Modality; Threads; Time(s);
Sequential;  0; 0.008553872799999975;
OpenMP;  1; 0.008505341999999989;
OpenMP;  2; 0.006582086499999994;
OpenMP;  3; 0.009136351500000008;
OpenMP;  4; 0.007407383699999993;
OpenMP;  5; 0.01293702939999998;
OpenMP;  6; 0.018337122900000186;
OpenMP;  7; 0.026828818600000057;
OpenMP;  8; 0.021290448599999998;
