Sequential; 0; 0.006404;
OpenMP; 1; 0.007319;
OpenMP; 2; 0.008727;
OpenMP; 3; 0.003459;
OpenMP; 4; 0.002732;
OpenMP; 5; 0.007783;
OpenMP; 6; 0.016004;
OpenMP; 7; 0.018484;
OpenMP; 8; 0.002074;
Sequential; 0; 0.006508;
OpenMP; 1; 0.006122;
OpenMP; 2; 0.003614;
OpenMP; 3; 0.006009;
OpenMP; 4; 0.008709;
OpenMP; 5; 0.008518;
OpenMP; 6; 0.017212;
OpenMP; 7; 0.020773;
OpenMP; 8; 0.002323;
Sequential; 0; 0.006091;
OpenMP; 1; 0.006025;
OpenMP; 2; 0.003719;
OpenMP; 3; 0.005527;
OpenMP; 4; 0.005146;
OpenMP; 5; 0.014467;
OpenMP; 6; 0.016361;
OpenMP; 7; 0.017687;
OpenMP; 8; 0.031017;
Sequential; 0; 0.006098;
OpenMP; 1; 0.006008;
OpenMP; 2; 0.003894;
OpenMP; 3; 0.005354;
OpenMP; 4; 0.002343;
OpenMP; 5; 0.004637;
OpenMP; 6; 0.012347;
OpenMP; 7; 0.020581;
OpenMP; 8; 0.005141;
Sequential; 0; 0.008118;
OpenMP; 1; 0.007402;
OpenMP; 2; 0.008354;
OpenMP; 3; 0.003088;
OpenMP; 4; 0.002531;
OpenMP; 5; 0.011814;
OpenMP; 6; 0.012158;
OpenMP; 7; 0.018038;
OpenMP; 8; 0.003564;
Sequential; 0; 0.006085;
OpenMP; 1; 0.006202;
OpenMP; 2; 0.003443;
OpenMP; 3; 0.006921;
OpenMP; 4; 0.002192;
OpenMP; 5; 0.013443;
OpenMP; 6; 0.015458;
OpenMP; 7; 0.020899;
OpenMP; 8; 0.010027;
Sequential; 0; 0.006216;
OpenMP; 1; 0.006149;
OpenMP; 2; 0.003672;
OpenMP; 3; 0.006947;
OpenMP; 4; 0.002343;
OpenMP; 5; 0.004406;
OpenMP; 6; 0.016622;
OpenMP; 7; 0.019474;
OpenMP; 8; 0.018203;
Sequential; 0; 0.007431;
OpenMP; 1; 0.006798;
OpenMP; 2; 0.004034;
OpenMP; 3; 0.008197;
OpenMP; 4; 0.002381;
OpenMP; 5; 0.002355;
OpenMP; 6; 0.015321;
OpenMP; 7; 0.018989;
OpenMP; 8; 0.002641;
Sequential; 0; 0.006091;
OpenMP; 1; 0.007120;
OpenMP; 2; 0.003800;
OpenMP; 3; 0.005785;
OpenMP; 4; 0.002456;
OpenMP; 5; 0.002495;
OpenMP; 6; 0.013826;
OpenMP; 7; 0.018802;
OpenMP; 8; 0.002193;
Sequential; 0; 0.006349;
OpenMP; 1; 0.006334;
OpenMP; 2; 0.003613;
OpenMP; 3; 0.005315;
OpenMP; 4; 0.002679;
OpenMP; 5; 0.015502;
OpenMP; 6; 0.012944;
OpenMP; 7; 0.017472;
OpenMP; 8; 0.081060;
Sequential; 0; 0.006619;
OpenMP; 1; 0.006346;
OpenMP; 2; 0.003918;
OpenMP; 3; 0.006221;
OpenMP; 4; 0.003055;
OpenMP; 5; 0.014266;
OpenMP; 6; 0.004430;
OpenMP; 7; 0.010125;
OpenMP; 8; 0.020960;
Sequential; 0; 0.006569;
OpenMP; 1; 0.006941;
OpenMP; 2; 0.004752;
OpenMP; 3; 0.010155;
OpenMP; 4; 0.002438;
OpenMP; 5; 0.012138;
OpenMP; 6; 0.005150;
OpenMP; 7; 0.026109;
OpenMP; 8; 0.029208;
Sequential; 0; 0.006524;
OpenMP; 1; 0.009722;
OpenMP; 2; 0.003469;
OpenMP; 3; 0.005366;
OpenMP; 4; 0.002322;
OpenMP; 5; 0.010303;
OpenMP; 6; 0.009742;
OpenMP; 7; 0.020368;
OpenMP; 8; 0.002062;
Sequential; 0; 0.006586;
OpenMP; 1; 0.007642;
OpenMP; 2; 0.004008;
OpenMP; 3; 0.006566;
OpenMP; 4; 0.002295;
OpenMP; 5; 0.010887;
OpenMP; 6; 0.002343;
OpenMP; 7; 0.020501;
OpenMP; 8; 0.004704;
Sequential; 0; 0.006616;
