Modality; Threads; Time(s);
Sequential;  0; 0.005090806700000002;
OpenMP;  1; 0.00515072220000002;
OpenMP;  2; 0.003442265099999995;
OpenMP;  3; 0.00335576689999999;
OpenMP;  4; 0.002836017500000011;
OpenMP;  5; 0.003693777399999973;
OpenMP;  6; 0.004883862000000027;
OpenMP;  7; 0.007872389899999988;
OpenMP;  8; 0.018242158099999985;
